,hetrz strains,antigneic_map strains
29,rHA_103_H3N2_A/Cambodia/e0826360/2020,A/SYDNEY/5/97
30,rHA_105_B_B/Washington/02/2019,PM/2007/99
31,rHA_108_H3N2_A/HongKong/2671/2019,A/SOUTH_AUSTRALIA/84/2002
32,rHA_10_B_B/Florida/4/2006,A/FUJIAN/140/2000
33,rHA_110_H1N1_(A/Guangdong-Maonan/SWL1536/2019)/(A/Hawaii/70/2019),A/SOUTH_AUSTRALIA/53/2001
34,rHA_111_H1N1_A/Brisbane/02/2018,A/VICTORIA/507/98
35,rHA_112_B_B/Austria/1359417/2021,A/SYDNEY/228/2000
36,rHA_114_H3N2_A/Darwin/6/2021,A/TOWNSVILLE/2/99
37,rHA_11_H1N1_A/Brisbane/59/2007,A/CHRISTCHURCH/68/99
38,rHA_12_H3N2_A/Brisbane/10/2007,A/VICTORIA/577/99
39,rHA_13_B_B/Brisbane/60/2008,NL/213/03
40,rHA_14_H3N2_A/Perth/16/2009,A/PHILIPPINES/427/2002_MDCK
41,rHA_15_H1N1_A/California/07/2009,A/WYOMING/3/2003
42,rHA_16_H3N2_A/Victoria/210/2009,A/AUCKLAND/20/2003
43,rHA_19_H3N2_A/Switzerland/9715293/2013,FU/411/02
44,rHA_201_H1N1_A/PuertoRico/8/1934,A/PHILIPPINES/472/2002_EGG
45,rHA_202_H5N1_A/Hong_Kong/483/1997,A/TOWNSVILLE/36/2003
46,rHA_203_H7N9_A/Shenghai/2/2013,A/VICTORIA/110/2004
47,rHA_207_H1N1_A/Brisbane/02/2018,A/BRISBANE/342/2003
48,rHA_209_H3N2_A/Kansas/14/2017,A/TOWNSVILLE/4/2002
49,rHA_20_B_B/Phuket/3073/2013,A/NEWCALEDONIA/12/2004
50,rHA_211_B_B/Colorado/06/2017,A/FUKUOKA/55/2002
51,rHA_213_H3N2_A/Singapore/INFIMH-16-0019/2016,A/CALIFORNIA/7/2004
52,rHA_214_H1N1_A/California/07/2009,A/SINGAPORE/37/2004
53,rHA_21_H1N1_A/WSN/1933,A/VICTORIA/523/2004
54,rHA_22_H1N1_A/PuertoRico/8/1934,A/BRISBANE/3/2005
55,rHA_24_H3N2_A/Sydney/5/1997,A/NEW_YORK/55/2004
56,rHA_27_H7N9_A/Shanghai/1/2013,A/BRISBANE/10/2007
57,rHA_33_H2N2_A/Japan/305/1957,A/WISCONSIN/67/2005
58,rHA_36_H5N1_A/Anhui/1/2005,A/VICTORIA/500/2009
59,rHA_37_H5N1_A/Hong_Kong/483/1997,A/PERTH/27/2007
60,rHA_38_H5N1_A/Indonesia/5/2005,A/URUGUAY/716/2007
61,rHA_46_H7N9_A/Anhui/1/2013,A/VICTORIA/208/2009
62,rHA_5_H1N1_A/NewCaledonia/20/1999,A/VICTORIA/8/2010
63,rHA_63_H1N1_A/SouthCarolina/1/1918,A/PERTH/16/2009
64,rHA_7_B_B/Malaysia/2506/2004,A/VICTORIA/361/2011
65,rHA_81_H5N1_A/Bar-headedgoose/Qingi/14/2008,A/BRISBANE/5/2002
66,rHA_8_H3N2_A/Wisconsin/67/2005,A/WELLINGTON/1/2004
67,rHA_90_H3N2_A/Fujian/411/2002,A/BEIJING/32/92
68,rHA_92_H1N1_A/Michigan/45/2015,A/VICTORIA/1/93
69,rHA_94_H3N2_A/Aichi/2/1968,PROTOTYPE_RG145K_A/NETHERLANDS/178/95
70,rHA_95_H3N2_A/California/7/2004,VN015/EL134/2008
71,rHA_9_H1N1_A/SolomonIslands/3/2006,VN016/EL135/2008
72,rHA_BEI_10_B_B/Florida/4/2006,VN017/EL140/2008
73,rHA_BEI_9_H5N1_A/duck/Hunan/795/2002,HN196/2009
74,rM1_57_H1N1_A/PuertoRico/8/1934,HN201/2009
75,rNA_102_H1N1_A/Wisconsin/588/2019,VN018/EL204/2009
